SIMBOLO,FECHA,VENCIMIENTO,TIPO DE SERIE,CIERRE,APERTURA,MAXIMO,MINIMO,PRECIO PROMEDIO,VOLUMEN NOMINAL,MONTO NEGOCIADO,CANTIDAD DE OPERACIONES
CRES,2024-01-12,48 hs.,Homogenea,"1047,8",1058,1070,1028,"1046,179",299130,312943476,2521
PAMP,2024-01-12,48 hs.,Homogenea,"2179,7",2185,2230,2120,"2161,783",472053,1020476090,5360
GGAL,2024-01-12,48 hs.,Homogenea,"1851,25",1850,1888,1825,"1844,637",1183380,2182906709,2985
BYMA,2024-01-12,48 hs.,Homogenea,1041,1020,1059,1000,"1023,35",217810,222895785,1850
SUPV,2024-01-12,48 hs.,Homogenea,"838,2",840,848,816,"827,23",350859,290240958,1340
EDN,2024-01-12,48 hs.,Homogenea,"1060,75","1044,75",1077,1025,"1052,849",306642,322847581,1912
BMA,2024-01-12,48 hs.,Homogenea,"3049,3",2973,3090,2955,"3025,126",90520,273834389,1677
TGNO4,2024-01-12,48 hs.,Homogenea,2091,"2164,5",2166,2050,"2080,67",195761,407313997,2149
TXAR,2024-01-12,48 hs.,Homogenea,"886,5","920,5",933,870,"889,078",708784,630164061,3757
BBAR,2024-01-12,48 hs.,Homogenea,"1899,1",1900,1918,1855,"1887,494",123130,232407097,1422
CEPU,2024-01-12,48 hs.,Homogenea,"1069,8",1085,"1119,95",1026,"1052,37",746966,786084293,3873
VALO,2024-01-12,48 hs.,Homogenea,"252,5",257,257,"248,5","250,669",333144,83508723,1741
ALUA,2024-01-12,48 hs.,Homogenea,959,1015,1020,935,"968,158",1420959,1375713333,6560
COME,2024-01-12,48 hs.,Homogenea,"87,4","89,1","91,6",86,"87,878",2357636,207183524,4104
YPFD,2024-01-12,48 hs.,Homogenea,"18205,85",18810,19200,18045,"18304,339",215418,3943084157,5047
TECO2,2024-01-12,48 hs.,Homogenea,"1519,15","1546,5",1554,1500,"1517,436",88026,133573850,956
MIRG,2024-01-12,48 hs.,Homogenea,"14644,5",15600,15600,14500,"14696,951","13554,7",199212759,1400
MIRG,2024-01-11,48 hs.,Homogenea,15100,16500,16599,14900,"15392,984",24563,"378097856,4",2357
LOMA,2024-01-11,48 hs.,Homogenea,"1519,2",1600,1618,1510,"1530,354",251737,"385246776,5",1398
GGAL,2024-01-11,48 hs.,Homogenea,"1844,45",1944,1975,1830,"1878,602",2360167,"4429286618,7",5447
EDN,2024-01-11,48 hs.,Homogenea,"1044,75",1100,1151,"1037,1","1070,75",183448,"196426905,95",2049
YPFD,2024-01-11,48 hs.,Homogenea,"18784,5",19100,19520,18550,"18904,029",153930,"2909897212,35",5472
VALO,2024-01-11,48 hs.,Homogenea,253,259,261,253,"257,012",904557,"232482213,5",3341
TXAR,2024-01-11,48 hs.,Homogenea,"919,5",950,970,913,"937,348",684020,"641165086,5",3378
TRAN,2024-01-11,48 hs.,Homogenea,"1262,5",1265,1300,1236,"1280,17",364194,466230162,1643
TGSU2,2024-01-11,48 hs.,Homogenea,"3237,6",3350,3498,3189,"3316,687",199404,661360636,2494
TGNO4,2024-01-11,48 hs.,Homogenea,2127,2195,2240,"2001,5","2144,437",165944,355856468,2251
CRES,2024-01-11,48 hs.,Homogenea,"1044,7",1105,1137,1014,"1079,523",681233,"735406947,65",3895
COME,2024-01-11,48 hs.,Homogenea,"89,15","90,5","91,8","88,8","89,883",4333779,"390202451,85",5952
CEPU,2024-01-11,48 hs.,Homogenea,"1084,8",1150,1178,"1082,5","1136,024",943937,"1072335078,35",3773
BYMA,2024-01-11,48 hs.,Homogenea,1027,1023,1058,1012,"1035,513",158037,163649429,2143
BMA,2024-01-11,48 hs.,Homogenea,"2972,6",3095,3118,2955,"2996,232",102738,"307826872,1",1266
BBAR,2024-01-11,48 hs.,Homogenea,"1879,3","1962,95",1992,"1860,5","1909,025",190872,"364379350,2",1474
ALUA,2024-01-11,48 hs.,Homogenea,1010,1062,"1073,5",1008,"1027,697",909047,934276721,4973
TECO2,2024-01-11,48 hs.,Homogenea,"1546,5",1600,1645,1490,"1547,521",341681,"528758686,95",2190
SUPV,2024-01-11,48 hs.,Homogenea,"835,9",860,897,821,"843,813",478401,"403680849,45",2175
PAMP,2024-01-11,48 hs.,Homogenea,"2180,7",2240,"2318,95",2170,"2209,184",567126,"1252885833,95",5849
TGNO4,2024-01-10,48 hs.,Homogenea,"2130,5",2225,2280,2107,"2139,173",382453,818132990,3208
MIRG,2024-01-10,48 hs.,Homogenea,16032,15900,16899,15100,"16064,679","39010,7",626694368,2748
BBAR,2024-01-10,48 hs.,Homogenea,"1930,4",1900,1958,1886,"1918,793",430489,"826019372,5",1949
TGSU2,2024-01-10,48 hs.,Homogenea,"3330,8",3250,3350,3250,"3304,027",223381,"738056856,4",2264
VALO,2024-01-10,48 hs.,Homogenea,"249,75","226,5",252,"226,5","244,995",1132741,"277515725,5",2731
BMA,2024-01-10,48 hs.,Homogenea,"3017,8",3004,3040,"2943,1","3005,129",158687,476874927,1378
COME,2024-01-10,48 hs.,Homogenea,"88,35",81,"88,5","80,1","86,358",5297257,"457511694,3",5841
TXAR,2024-01-10,48 hs.,Homogenea,"947,5","942,5","973,5",913,"952,411",905898,"862782828,5",4080
BYMA,2024-01-10,48 hs.,Homogenea,1023,1015,1053,990,"1024,713",357436,366269204,2169
ALUA,2024-01-10,48 hs.,Homogenea,1056,1054,1083,1026,"1055,947",1176067,1241864357,5741
EDN,2024-01-10,48 hs.,Homogenea,"1073,05",1058,1077,1014,"1058,198",231439,"244908346,2",2057
CEPU,2024-01-10,48 hs.,Homogenea,"1122,15",1115,1149,1068,"1105,021",715793,"790965959,55",3752
TECO2,2024-01-10,48 hs.,Homogenea,"1579,6",1648,1648,1530,"1589,225",52508,"83447033,7",1081
GGAL,2024-01-10,48 hs.,Homogenea,"1918,45",1875,"1926,5",1850,"1896,176",2436512,"4616937028,3",3758
TRAN,2024-01-10,48 hs.,Homogenea,"1259,5","1239,5",1265,1185,"1237,803",329399,407731055,1523
SUPV,2024-01-10,48 hs.,Homogenea,"862,9",842,"864,85",805,"839,413",859516,"721489301,7",1909
LOMA,2024-01-10,48 hs.,Homogenea,"1582,4",1560,1600,"1518,35","1559,338",131282,"204713005,7",1228
CRES,2024-01-10,48 hs.,Homogenea,"1082,85",1050,1090,1032,"1066,503",556760,"593786265,95",3279
PAMP,2024-01-10,48 hs.,Homogenea,"2223,8",2255,2300,2200,"2228,989",721843,"1608979781,3",6045
YPFD,2024-01-10,48 hs.,Homogenea,"19048,25",19349,19600,18900,"19121,386",199438,"3813530975,9",5405
TRAN,2024-01-09,48 hs.,Homogenea,"1220,5",1225,1258,1170,"1206,897",370186,"446776222,5",2169
